airline,source,destination,total_stops,route_interaction,month,day,duration_to_minutes,dep_sin,dep_cos,arrival_sin,arrival_cos,duration_times_stops,price
Multiple carriers,Delhi,Cochin,1,Delhi_Cochin,5,0,720,0.7071067811865476,-0.7071067811865475,-0.7071067811865477,0.7071067811865474,0.0,7618
Air India,Banglore,Delhi,1,Banglore_Delhi,3,4,480,0.04361938736533607,-0.9990482215818578,-0.887010833178222,0.46174861323503325,0.0,7192
IndiGo,Banglore,Delhi,0,Banglore_Delhi,3,6,175,-0.6427876096865396,0.7660444431189778,0.0,1.0,0.0,4777
Jet Airways,Delhi,Cochin,2,Delhi_Cochin,5,3,425,0.9914448613738104,0.1305261922200517,-0.15212338618991642,-0.9883615104677608,0.0,16274
Jet Airways,Banglore,Delhi,1,Banglore_Delhi,3,2,1055,-0.5187732581605212,-0.8549118706729467,0.0,1.0,0.0,13502
Jet Airways,Kolkata,Banglore,1,Kolkata_Banglore,5,6,690,0.5913096483635826,-0.8064446042674824,-0.6915130557822692,0.7223639620597557,0.0,14151
IndiGo,Delhi,Cochin,1,Delhi_Cochin,4,0,455,0.7798844830928818,-0.6259234721840591,-0.8870108331782215,-0.46174861323503436,0.0,6442
Air India,Kolkata,Banglore,2,Kolkata_Banglore,4,0,970,-0.9469301294951056,-0.3214394653031618,0.0,1.0,0.0,9920
SpiceJet,Banglore,Delhi,0,Banglore_Delhi,3,6,170,0.9978589232386035,0.06540312923014305,0.7798844830928818,-0.6259234721840591,0.0,3527
Jet Airways,Delhi,Cochin,1,Delhi_Cochin,6,0,1210,-0.30070579950427384,0.9537169507482267,0.0,1.0,0.0,10262
Multiple carriers,Delhi,Cochin,1,Delhi_Cochin,5,0,705,0.9238795325112867,-0.3826834323650897,-0.9469301294951057,0.3214394653031615,0.0,10786
Jet Airways,Banglore,Delhi,0,Banglore_Delhi,5,5,180,-0.9978589232386035,-0.06540312923014362,-0.7518398074789778,0.6593458151000684,0.0,7229
GoAir,Delhi,Cochin,1,Delhi_Cochin,5,2,355,0.9659258262890683,-0.25881904510252085,-0.23768589232617313,-0.9713420698132614,0.0,7682
