iter	Passed	Remaining
0	3	386
1	5	289
2	7	252
3	9	228
4	11	217
5	13	207
6	15	199
7	16	193
8	18	187
9	20	182
10	21	176
11	22	166
12	24	164
13	26	161
14	27	158
15	29	155
16	31	152
17	32	149
18	34	146
19	36	144
20	38	143
21	40	141
22	41	140
23	43	136
24	44	134
25	46	133
26	48	131
27	50	129
28	52	128
29	54	126
30	55	124
31	57	122
32	59	121
33	61	119
34	63	117
35	65	115
36	67	114
37	68	112
38	70	110
39	72	108
40	74	106
41	76	105
42	77	103
43	79	101
44	81	99
45	83	98
46	85	96
47	87	94
48	89	92
49	90	90
50	92	88
51	94	86
52	96	85
53	97	83
54	99	81
55	101	79
56	103	77
57	105	76
58	106	74
59	108	72
60	112	71
61	113	69
62	115	68
63	117	66
64	119	64
65	121	62
66	125	61
67	127	60
68	129	58
69	132	56
70	135	55
71	137	53
72	139	51
73	141	49
74	144	48
75	146	46
76	148	44
77	150	42
78	153	40
79	155	38
80	159	37
81	161	35
82	163	33
83	165	31
84	167	29
85	169	27
86	171	25
87	173	23
88	174	21
89	177	19
90	179	17
91	182	15
92	185	13
93	187	11
94	190	10
95	193	8
96	195	6
97	197	4
98	199	2
99	201	0
